algorithm,test_file,n_test,MAE,RMSE,R2
RandomForest,B0005.mat,168,0.03767045547043211,0.044730021130253136,0.8086700788383132
XGBoost,B0005.mat,168,0.04721252887215733,0.054034995760010675,0.7207874536289516
GradientBoosting,B0005.mat,168,0.041873895997143466,0.04847471995244251,0.775293671710321
SVR,B0005.mat,168,0.035373726563703405,0.039421475682823844,0.8513891765211372
LinearRegression,B0005.mat,168,0.017869619117923067,0.022707591008508863,0.9506909298584462
RandomForest,B0006.mat,168,0.067321553521096,0.07187363184506733,0.6610989619144949
XGBoost,B0006.mat,168,0.07030438252216321,0.0744416499580277,0.6364487028242496
GradientBoosting,B0006.mat,168,0.066668867978528,0.0709352464782427,0.6698906071004973
SVR,B0006.mat,168,0.0952174109229292,0.11647648809019041,0.10995850825746412
LinearRegression,B0006.mat,168,0.07494384515947286,0.07524368197962343,0.6285727216297514
RandomForest,B0007.mat,168,0.03173523426905969,0.04154038536085555,0.7603612054464052
XGBoost,B0007.mat,168,0.029214765847660768,0.037522648145349106,0.8044746616689219
GradientBoosting,B0007.mat,168,0.03238902160534884,0.0424507051954957,0.7497431910473502
SVR,B0007.mat,168,0.06087544413930977,0.0736109929246651,0.2475087818123589
LinearRegression,B0007.mat,168,0.05318795441078706,0.05701598992161468,0.5485502444387107
RandomForest,B0018.mat,132,0.03160725921528269,0.037724245087548215,0.7943081157315184
XGBoost,B0018.mat,132,0.03585821852443924,0.04059654209453617,0.7617932151346072
GradientBoosting,B0018.mat,132,0.03620985338533104,0.04231195751662112,0.7412369406943324
SVR,B0018.mat,132,0.03713654438492969,0.04244860084850337,0.7395629297485384
LinearRegression,B0018.mat,132,0.025532263323942782,0.02733749646258129,0.891982649409497
