algorithm,test_file,n_test,MAE,RMSE,R2
RandomForest,B0005.mat,168,0.03765802855228058,0.04471524670965125,0.8087964513197208
RandomForest,B0006.mat,168,0.06731653446788577,0.07186681708288235,0.6611632252730992
RandomForest,B0007.mat,168,0.031716153739330864,0.041519982962833116,0.7605965429555981
RandomForest,B0018.mat,132,0.03160725921528269,0.037724245087548215,0.7943081157315184
GradientBoosting,B0005.mat,168,0.0405741050064656,0.04712569009804924,0.7876265941926892
GradientBoosting,B0006.mat,168,0.06631619828418524,0.07020392693720116,0.6766621629594702
GradientBoosting,B0007.mat,168,0.030815138626593824,0.037854676271765315,0.8009990465586342
GradientBoosting,B0018.mat,132,0.04248398900028695,0.04729134758520593,0.6767493399646619
XGBoost,B0005.mat,168,0.04244461010525293,0.0495603678253554,0.7651158412152022
XGBoost,B0006.mat,168,0.06811131831504078,0.07223739591007894,0.6576598150082599
XGBoost,B0007.mat,168,0.03183497278781722,0.03955345902910772,0.7827373747228077
XGBoost,B0018.mat,132,0.03400139802466628,0.03759847538992935,0.7956773509311594
SVR,B0005.mat,168,0.031065329152316586,0.03467934358380253,0.8849924311800264
SVR,B0006.mat,168,0.0952174109229292,0.11647648809019041,0.10995850825746412
SVR,B0007.mat,168,0.06160225346400283,0.0739487490824255,0.24058748861662127
SVR,B0018.mat,132,0.03713654438492969,0.04244860084850337,0.7395629297485384
ExtraTrees,B0005.mat,168,0.04065951167838124,0.04371620295290769,0.8172448799672243
ExtraTrees,B0006.mat,168,0.07024586876609956,0.07506123558058383,0.6303717673623487
ExtraTrees,B0007.mat,168,0.033146567031565724,0.038164135612414316,0.7977321095729447
ExtraTrees,B0018.mat,132,0.03000505949197955,0.035706486488886746,0.815723363474647
LinearRegression,B0005.mat,168,0.017869619117923067,0.022707591008508863,0.9506909298584462
LinearRegression,B0006.mat,168,0.07494384515947286,0.07524368197962343,0.6285727216297514
LinearRegression,B0007.mat,168,0.05318795441078706,0.05701598992161468,0.5485502444387107
LinearRegression,B0018.mat,132,0.025532263323942782,0.02733749646258129,0.891982649409497
