feature,permutation_importance,std
energy_proxy_VAs,0.024977325998834517,0.0007525766217996453
duration_s,0.024361211849959253,0.000696438345005782
discharge_curvature_coeff,0.017375873584119336,0.0004458598362189031
voltage_start,0.014510286239841887,0.0005398458556204505
current_mean,0.010504965642459573,0.00037545334684251894
voltage_std,0.007982821909364005,0.0003021445111057208
n_points,0.0072136819297644915,0.0003080869240897708
voltage_plateau_fraction,0.005423471235238253,0.00022720470900418628
discharge_frac,0.0051882555847934065,0.00024914159506650484
current_std,0.005014667121270075,0.000266399649752363
